X,Y,ele
422157.014943363,4505579.87294447,927.3
422143.002357574,4505583.57458035,926.75
422129.179433178,4505587.12535597,926.02
422115.533261561,4505590.64639317,925.78
422101.98566131,4505594.11059038,925.95
422088.437780233,4505597.54690563,925.81
422075.031837034,4505601.00966582,925.13
422061.646852527,4505604.44430944,924.79
422048.43135236,4505607.83066999,925.35
422035.378247785,4505611.1688321,924.91
422022.403841052,4505614.58062837,924.88
422009.528093011,4505617.94488335,924.91
421996.948118988,4505621.14786313,925.26
421984.678468758,4505624.22662651,925.44
421972.896972873,4505627.25375137,924.96
421961.957401264,4505630.19760613,924.64
421952.338860204,4505632.82051095,924.05
421943.708897435,4505635.16316989,923.53
421935.69513472,4505637.50866184,923.57
